"108732","2","1959","NaN","67","CSLG06","BLACK","","NaN","","SK","10","3794","3807","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1960","NaN","68","CSLG06","BLACK","","NaN","","SK","10","3808","3821","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1961","NaN","69","CSLG06","BLACK","","NaN","","SK","10","3822","3835","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1962","NaN","70","CSLG06","BLACK","","NaN","","SK","10","3836","3849","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1963","NaN","71","CSLG06","BLACK","","NaN","","SK","10","3850","3863","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1964","NaN","72","CSLG06","BLACK","","NaN","","SK","10","3864","3877","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1965","NaN","1","CSLG06","BLACK","","NaN","","MH","10","3878","3891","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1966","NaN","2","CSLG06","BLACK","","NaN","","MH","10","3892","3905","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1967","NaN","3","CSLG06","BLACK","","NaN","","MH","10","3906","3919","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1968","NaN","4","CSLG06","BLACK","","NaN","","MH","10","3920","3933","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1969","NaN","5","CSLG06","BLACK","","NaN","","MH","10","3934","3947","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1970","NaN","6","CSLG06","BLACK","","NaN","","MH","10","3948","3961","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1971","NaN","7","CSLG06","BLACK","","NaN","","MI","10","3962","3975","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1972","NaN","8","CSLG06","BLACK","","NaN","","MI","10","3976","3989","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1973","NaN","9","CSLG06","BLACK","","NaN","","MI","10","3990","4003","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1974","NaN","10","CSLG06","BLACK","","NaN","","MI","10","4004","4017","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1975","NaN","11","CSLG06","BLACK","","NaN","","MI","10","4018","4031","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1976","NaN","12","CSLG06","BLACK","","NaN","","MI","10","4032","4045","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1977","NaN","13","CSLG06","BLACK","","NaN","","MJ","11","4046","4059","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1978","NaN","14","CSLG06","BLACK","","NaN","","MJ","11","4060","4073","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1979","NaN","15","CSLG06","BLACK","","NaN","","MJ","11","4074","4087","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1980","NaN","16","CSLG06","BLACK","","NaN","","MJ","11","4088","4101","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1981","NaN","17","CSLG06","BLACK","","NaN","","MJ","11","4102","4115","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1982","NaN","18","CSLG06","BLACK","","NaN","","MJ","11","4116","4129","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1983","NaN","19","CSLG06","BLACK","","NaN","","MK","10","4130","4143","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
